"species","x","y"
"solanum acaule acaule BITTER",-74.12,-14.68
"solanum acaule acaule BITTER",-65,-21.833
"solanum acaule acaule BITTER",-69.5513,-15.1182
"solanum acaule acaule BITTER",-71.6308,-14.9008
"solanum acaule acaule BITTER",-76.0333,-10.9166
"solanum acaule acaule BITTER",-68.45,-16.85
"solanum acaule acaule BITTER",-70.6058,-15.7
"solanum acaule acaule BITTER",-74.34,-13.2652
"solanum acaule acaule BITTER",-72.1772,-15.7677
"solanum acaule acaule BITTER",-65,-21.833
"solanum acaule acaule BITTER",-70.033,-15.833
"solanum acaule acaule BITTER",-69.0833,-14.7833
"solanum acaule acaule BITTER",-68.5666,-16.1666
"solanum acaule acaule BITTER",-70.75,-14.75
"solanum acaule acaule BITTER",-71.45,-14.73
"solanum acaule acaule BITTER",-69.5513,-15.1182
"solanum acaule acaule BITTER",-70.2494,-17.2677
"solanum acaule acaule BITTER",-75.433,-11.7
"solanum acaule acaule BITTER",-76.05,-10.91
"solanum acaule acaule BITTER",-74.3333,-13.45
"solanum acaule acaule BITTER",-65.02,-21.85
"solanum acaule acaule BITTER",-68.85,-17.033
"solanum acaule acaule BITTER",-74.12,-14.68
"solanum acaule acaule BITTER",-67.633,-18.083
"solanum acaule acaule BITTER",-65.05,-21.633
"solanum acaule acaule BITTER",-76.5769,-11.4058
"solanum acaule acaule BITTER",-66.367,-17.317
"solanum acaule acaule BITTER",-75.433,-11.7
"solanum acaule acaule BITTER",-75.935,-11.19
"solanum acaule acaule BITTER",-67.683,-17.117
"solanum acaule acaule BITTER",-76.233,-12.15
"solanum acaule acaule BITTER",-68.15,-16.5
"Solanum acaule Bitter",-65.59,-25.11
"Solanum acaule Bitter",-65.7,-22.73
"Solanum acaule Bitter",-65.92,-22.92
"Solanum acaule Bitter",-65.39,-23.07
"Solanum acaule Bitter",-65.92,-22.92
"Solanum acaule Bitter",-66.52,-23.13
"Solanum acaule Bitter",-65.87,-26.61
"Solanum acaule Bitter",-65.7,-22.73
"Solanum acaule Bitter",-65.63,-23.68
"Solanum acaule Bitter",-66.16,-25.81
"Solanum acaule Bitter",-65.67,-23.7
"Solanum acaule Bitter subsp. aemulans (Bitt. et Wittm.) Hawkes et Hjerting",-65.63,-23.68
"Solanum acaule f. acaule",-65.5333,-23.6166
"Solanum acaule f. acaule",-65.7333,-19.5666
"Solanum acaule f. acaule",-66.0333,-24.5
"Solanum acaule f. acaule",-67.9666,-17.1666
"Solanum acaule f. acaule",-66.1333,-22.1
"Solanum acaule subsp. aemulans",-67.7,-28.9666
"Solanum acaule f. acaule",-66.1666,-17.3
"Solanum acaule f. acaule",-66.1,-21.8833
"Solanum acaule subsp. punae",-76.5833,-9.2666
"Solanum acaule subsp. aemulans",-65.2,-23.5833
"Solanum acaule f. acaule",-66.2,-22.5
"Solanum acaule subsp. punae",-75.3666,-11.6
"Solanum acaule f. acaule",-65.2833,-22.2333
"Solanum acaule f. acaule",-68.1166,-16.3666
"Solanum acaule f. acaule",-65.7333,-19.5667
"Solanum acaule subsp. aemulans",-65.1667,-23.5833
"Solanum acaule f. acaule",-65.25,-22.2167
"Solanum acaule subsp. aemulans",-67.8,-28.9333
"Solanum acaule subsp. aemulans",-67.8333,-28.7
"Solanum acaule subsp. aemulans",-65.1333,-23.6
"Solanum acaule subsp. aemulans",-65.1667,-23.5833
"Solanum acaule f. acaule",-68.7,-16.5667
"Solanum acaule f. acaule",-65.4333,-22.1167
"Solanum acaule f. acaule",-65.1833,-23.6
"Solanum acaule f. acaule",-65.05,-21.6333
"Solanum acaule f. acaule",-67.5,-18.0833
"Solanum acaule f. acaule",-65.0667,-19.6333
"Solanum acaule subsp. punae",-74.85,-12.85
"Solanum acaule f. acaule",-65.1,-23.1333
"Solanum acaule subsp. punae",-76.5833,-9.26667
"Solanum acaule f. acaule",-70.0333,-15.8333
"Solanum acaule f. acaule",-67.6,-18.3333
"Solanum acaule f. acaule",-66.1,-21.8833
"Solanum acaule subsp. aemulans",-65.2,-23.5833
"Solanum acaule subsp. acaule",-68.76667,-17.116667
"Solanum acaule f. acaule",-67.4,-17.33333
"Solanum acaule f. acaule",-66.11667,-21.88333
"Solanum acaule f. acaule",-64.58333,-19.73333
"Solanum acaule f. acaule",-65.25,-22.21667
"Solanum acaule f. acaule",-65.58333,-24.6
"Solanum acaule f. acaule",-68.75,-15.83333
"Solanum acaule f. acaule",-66,-18.83333
"Solanum acaule subsp. aemulans",-65.16667,-23.58333
"Solanum acaule f. acaule",-65.75,-26.76667
"Solanum acaule f. acaule",-65.05,-23.18333
"Solanum acaule f. acaule",-65.58333,-23.91667
"Solanum acaule f. acaule",-66.15,-21.91667
"Solanum acaule f. acaule",-67.7,-28.96667
"Solanum acaule f. acaule",-67.7,-28.96667
"Solanum acaule f. acaule",-65.43333,-22.96667
"Solanum acaule f. acaule",-65.1,-23.63333
"Solanum acaule f. acaule",-71.28361,-15.07389
"Solanum acaule f. acaule",-65.45,-22.16667
"Solanum acaule f. acaule",-65.73333,-22.13333
"Solanum acaule f. acaule",-65.75,-22.13333
"Solanum acaule subsp. aemulans",-67.7,-28.96667
"Solanum acaule f. acaule",-65.06667,-19.63333
"Solanum acaule f. acaule",-65.05,-23.18333
"Solanum acaule f. acaule",-66.2,-22.5
"Solanum acaule f. acaule",-65.28333,-22.23333
"Solanum acaule f. acaule",-65.73333,-19.53333
"Solanum acaule f. acaule",-65.1,-22.78333
"Solanum acaule f. acaule",-76.23333,-12.15
"Solanum acaule f. acaule",-66.2,-24.5
"Solanum acaule f. acaule",-75.43333,-11.7
"Solanum acaule f. acaule",-78.71667,-2.15
"Solanum acaule f. acaule",-65.43333,-22.96667
"Solanum acaule f. acaule",-65.1,-22.78333
"Solanum acaule f. acaule",-70.13333,-15.5
"Solanum acaule f. acaule",-68.65,-15.88333
"Solanum acaule f. acaule",-65,-21.83333
"Solanum acaule f. acaule",-65.45,-23.16667
"Solanum acaule f. acaule",-65.43333,-22.96667
"Solanum acaule f. acaule",-66.13333,-22.1
"Solanum acaule f. acaule",-65.05,-22.21667
"Solanum acaule f. acaule",-66.11667,-21.88333
"Solanum acaule f. acaule",-69.06667,-15.63333
"Solanum acaule f. acaule",-66.8,-17.46667
"Solanum acaule f. acaule",-65.46667,-22.11667
"Solanum acaule f. acaule",-65.16667,-19.33333
"Solanum acaule f. acaule",-65.06667,-22.36667
"Solanum acaule f. acaule",-69.05,-15.53333
"Solanum acaule f. acaule",-65.85,-23.58333
